Title,Company Name,Link
CISO12 - Data Protection Officer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
Data Center Technician,PT Amazon Data Srvcs Indonesia,https://id.indeed.com/cmp/Amazon.com
BaruSoftware Development Engineer / Programmer,PT Stimulink,Link Tidak Ditemukan
System Administrator,Rakhasa Artha Wisesa (Rakhasa Artha Wisesa) PT,Link Tidak Ditemukan
OPERATION ENGINEER,PT. Kwadran Lima Mitra Kaya Solusi,Link Tidak Ditemukan
Client Integration Staff,PT. ALTO Network,Link Tidak Ditemukan
Cloud and Linux System Administrator,Coda Payments,Link Tidak Ditemukan
Linux Server Administration,Agape Software,Link Tidak Ditemukan
IT Service Staff,PT KHARISMA POTENSIA INDONESIA,https://id.indeed.com/cmp/PT-Kharisma-Potensia-Indonesia-1
IT Infrastructure Internship,FasPay,Link Tidak Ditemukan
Product Support Services,PT InMotion Inovasi Teknologi,Link Tidak Ditemukan
Staff Hardware & Software Support,BINASENTRA PURNA,Link Tidak Ditemukan
IT Network Staff,Mitracomm Ekasarana PT,https://id.indeed.com/cmp/Pt.-Mitracomm-Ekasarana-1
ITIFS16 - Desktop & Peripheral Engineer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
Technical Support Engineer,Millennium Technology Services,Link Tidak Ditemukan
Technical Support Officer,HappyFresh,https://id.indeed.com/cmp/Happyfresh
IT Server Administrator,PT. Tiki Jalur Nugraha Ekakurir (JNE),Link Tidak Ditemukan
IT Support,Cermati.com,https://id.indeed.com/cmp/PT-Dwi-Cermat-Indonesia-1
Technical Support Engineer (ID),Titan Guard Sdn Bhd,Link Tidak Ditemukan
IT QA,MNC,Link Tidak Ditemukan
ITIFS03 - Data & Storage Management Engineer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
IT Support Specialist,South Pole,Link Tidak Ditemukan
Technology Specialist,amdocs,Link Tidak Ditemukan
Netadmin Specialist,MNC,Link Tidak Ditemukan
CISO16 - Data Encryption & Key Management Officer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
BEST TECHNICAL TEAM,Gunung Sari Pratama (Surabaya) PT,Link Tidak Ditemukan
ShopeePay Backend Engineer [Experienced],Shopee,https://id.indeed.com/cmp/Shopee
Security Engineering (Intern),GO-JEK,https://id.indeed.com/cmp/Pt.-Go--jek-Indonesia-2
Cloud Engineer,Aplika,Link Tidak Ditemukan
Experience (1-2 years) with VMware ESXi and Linux (Ubuntu/CE...,Rumah Sakit Setia Mitra,Link Tidak Ditemukan
Senior Data Engineer,Zenius Education,Link Tidak Ditemukan
Junior Programmer,PT KHARISMA POTENSIA INDONESIA,https://id.indeed.com/cmp/PT-Kharisma-Potensia-Indonesia-1
Trainee - Cyber Risk Advisory,Deloitte,https://id.indeed.com/cmp/Deloitte
PRODUCT SPECIALIST,Altrak 1978,Link Tidak Ditemukan
Devops Engineer - CITIS,Kompas Gramedia,https://id.indeed.com/cmp/Kompas-Gramedia-Group
Full Stack Engineer - Data Team,ZALORA SOUTH EAST ASIA PTE LTD,Link Tidak Ditemukan
ITIFS06 - Midrange System Operation Engineer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
LEARNING & DEVELOPMENT OFFICER,Altrak 1978,Link Tidak Ditemukan
Staff Product Security Engineer,GO-JEK,https://id.indeed.com/cmp/Pt.-Go--jek-Indonesia-2
Quality Assurance,Lawencon International PT,Link Tidak Ditemukan
Backend Engineer,Rumah Coding Cerdas,Link Tidak Ditemukan
Staff IT & Network Administrator,Global Indonesia Asia Sejahtera - GIAS,Link Tidak Ditemukan
Network Engineer,PT IONPay Networks (NICEPAY),Link Tidak Ditemukan
IT SysAdmin,Indodana,Link Tidak Ditemukan
Network and System Administrator,IndoChat,Link Tidak Ditemukan
IT - Technical Support Officer,RockStar Gym,Link Tidak Ditemukan
Junior Support Engineer,Mobileum,Link Tidak Ditemukan
ITIFS14 - Virtual Private Cloud Engineer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
Cloud Specialist,MNC,Link Tidak Ditemukan
ITIFS04 - eChannel Infrastruktur Engineer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
"Infrastructure Cloud Consultant, Google Cloud Professional S...",Google,https://id.indeed.com/cmp/Google
Network Engineer,Bank Central Asia - BCA,https://id.indeed.com/cmp/Bank-Central-Asia---Bca
Technical Consultant Analyst,Mitra Integrasi Informatika,https://id.indeed.com/cmp/Mitra-Integrasi-Informatika
DDL - 04 - PaaS Operations Engineer,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
Software Engineer - Oval Data,Kompas Gramedia,https://id.indeed.com/cmp/Kompas-Gramedia-Group
IT SUPPORT,Vajiro Mulia Gemilang,Link Tidak Ditemukan
Senior Member Technical,Broadridge,Link Tidak Ditemukan
System Administrator,Sindo News,Link Tidak Ditemukan
Software Developer | Work from Home,Wistkey Technologies Limited / MamaHelpers,Link Tidak Ditemukan
Operations IT Engineer - AquaEasy,Bosch Group,Link Tidak Ditemukan
"BaruFrontend Engineer (Freshgraduate, Senior, Principal, & Senio...",Cermati.com,https://id.indeed.com/cmp/PT-Dwi-Cermat-Indonesia-1
Senior QA Manual,Code.id,Link Tidak Ditemukan
Senior Data Engineer,TADA,Link Tidak Ditemukan
Financial Service SRE Engineer [Entry Level],Shopee,https://id.indeed.com/cmp/Shopee
Consultant,Broadridge,Link Tidak Ditemukan
Server Engineer,NTT INDONESIA TECHNOLOGY,Link Tidak Ditemukan
Technical Support / Technician,Kahar Duta Sarana,Link Tidak Ditemukan
Engineering and Technology - IT Service Delivery (Warehouse...,Shopee,https://id.indeed.com/cmp/Shopee
Associate - Cyber Security,Deloitte,https://id.indeed.com/cmp/Deloitte
BaruLead Developer,sribu.com,Link Tidak Ditemukan
ITAPD - Programmer - ETL,PT Bank Mandiri (Persero) Tbk.,https://id.indeed.com/cmp/PT-Bank-Mandiri-(persero)-Tbk
Product Security Engineer - Consumer Payment,GO-JEK,https://id.indeed.com/cmp/Pt.-Go--jek-Indonesia-2
System Analyst,PT. Orang Informasi Teknologi,Link Tidak Ditemukan
IT Support,byOrange,Link Tidak Ditemukan
DEVOPS,PT Komunitas Anak Bangsa,Link Tidak Ditemukan
